timestamp_iso,frame,detected,num_objects,objects_json
2026-09-13T03:34:49.517,1,True,1,"[{""id"": 0, ""position"": {""x"": 1.3500000476837157, ""y"": -0.4400000174840291, ""z"": 0.3}, ""size"": {""w"": 0.15799999237060547, ""d"": 0.0, ""h"": 0.15799999237060547}}]"
2026-09-13T03:34:49.520,2,True,1,"[{""id"": 0, ""position"": {""x"": 1.3500000476837157, ""y"": -0.4400000174840291, ""z"": 0.3}, ""size"": {""w"": 0.15799999237060547, ""d"": 0.0, ""h"": 0.15799999237060547}}]"
2026-09-13T03:34:50.012,3,True,1,"[{""id"": 0, ""position"": {""x"": 1.3500000476837155, ""y"": -0.4400000174840291, ""z"": 0.3}, ""size"": {""w"": 0.15799999237060547, ""d"": 0.0, ""h"": 0.15799999237060547}}]"
2026-09-13T03:34:50.515,4,True,1,"[{""id"": 0, ""position"": {""x"": 1.3500000476837157, ""y"": -0.4400000174840291, ""z"": 0.3}, ""size"": {""w"": 0.15799999237060547, ""d"": 0.0, ""h"": 0.15799999237060547}}]"
2026-09-13T03:34:51.017,5,True,1,"[{""id"": 0, ""position"": {""x"": 1.3500000476837157, ""y"": -0.4400000174840291, ""z"": 0.3}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:51.517,6,True,1,"[{""id"": 0, ""position"": {""x"": 1.3500000476837157, ""y"": -0.4400000174840291, ""z"": 0.3}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:52.041,7,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:52.541,8,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:53.036,9,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:53.517,10,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:54.039,11,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:54.532,12,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.10533333569765091, ""d"": 0.0, ""h"": 0.1053333431482315}}]"
2026-09-13T03:34:55.041,13,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.3291666507720947, ""d"": 0.0, ""h"": 0.3291666507720947}}]"
2026-09-13T03:34:55.538,14,True,1,"[{""id"": 0, ""position"": {""x"": 0.950000011920929, ""y"": 0.0, ""z"": 0.5133333365122477}, ""size"": {""w"": 0.3291666507720947, ""d"": 0.0, ""h"": 0.3291666507720947}}]"
2026-09-13T03:34:56.039,15,True,1,"[{""id"": 0, ""position"": {""x"": 2.65, ""y"": 0.0, ""z"": 0.3}, ""size"": {""w"": 0.3291666507720947, ""d"": 0.0, ""h"": 0.3291666507720947}}]"
